time,nHe2,vHe2,vthHe2,vC5,vthC5,vO6,vthO6,vFe10,vthFe10,HetoO,CtoO,FetoO
2005-04-30 15:22:26,0.27455,639.19,62.791,643.77,63.981,638.8,59.004,625.59,59.101,88.061,0.71747,0.083905
2005-04-30 17:22:31,0.33553,597.32,58.457,598.73,62.747,595.05,58.255,594.85,51.14,87.492,0.63688,0.083791
2005-04-30 19:22:37,0.18808,607.83,54.265,610.96,58.569,606.0,56.137,596.64,50.572,90.123,0.66995,0.086009
2005-04-30 21:22:43,0.25634,631.15,61.945,627.13,64.907,621.89,64.143,607.13,64.842,70.731,0.63158,0.11685
2005-04-30 23:22:49,0.26925,629.98,61.645,637.16,65.623,626.07,59.393,630.66,54.457,80.785,0.66816,0.11833
2005-05-01 01:22:54,0.10214,695.71,73.839,694.08,69.647,689.17,70.149,684.98,63.611,67.916,0.60594,0.13009
2005-05-01 03:22:58,0.064923,702.8,75.855,699.78,77.629,699.79,66.502,675.06,53.498,68.591,0.65696,0.13275
2005-05-01 05:23:04,0.056132,718.43,76.225,712.98,70.99,708.13,66.862,706.14,79.609,60.366,0.67877,0.14724
2005-05-01 07:23:09,0.022713,728.95,68.22,725.8,68.148,728.75,60.374,726.98,40.446,68.834,0.61146,0.12715
2005-05-01 09:23:15,0.01944,717.2,68.291,710.94,65.251,705.15,59.415,707.77,44.979,63.225,0.58438,0.11051
2005-05-01 11:23:21,0.017375,696.37,64.123,691.69,57.62,686.2,53.364,693.47,68.817,62.402,0.70478,0.097434
2005-05-01 13:23:26,0.035664,693.76,57.508,700.01,56.828,690.15,52.274,708.82,54.628,58.01,0.54339,0.093263
2005-05-01 15:23:31,0.060878,680.1,55.823,682.32,54.061,676.5,50.11,686.21,39.174,72.468,0.60917,0.11485
2005-05-01 17:23:36,0.071942,659.97,58.192,664.22,55.755,659.75,51.596,645.65,45.567,72.264,0.65921,0.13459
2005-05-01 19:23:41,0.090204,646.56,52.915,650.72,55.298,641.57,51.071,636.24,50.871,86.079,0.66453,0.10294
2005-05-01 21:23:48,0.094037,656.84,51.205,662.55,51.716,657.56,48.058,668.96,35.185,98.369,0.75312,0.093835
2005-05-01 23:23:53,0.072291,647.26,47.99,648.85,48.868,644.48,44.908,650.66,50.785,90.896,0.63262,0.10862
2005-05-02 01:23:57,0.074653,638.79,48.381,638.41,47.521,638.98,42.827,634.4,33.891,94.001,0.72348,0.089117
2005-05-02 03:24:03,0.04941,608.83,51.711,611.47,57.286,606.7,46.78,623.68,40.33,83.631,0.61814,0.087381
2005-05-02 05:24:08,0.045451,573.94,42.989,567.6,48.126,576.13,42.432,589.46,31.416,69.915,0.63799,0.084172
2005-05-02 07:24:15,0.052464,559.06,43.303,557.14,43.127,558.34,38.257,557.25,34.751,65.976,0.62403,0.1009
2005-05-02 09:24:20,0.04364,559.25,43.766,563.25,46.466,556.93,40.692,560.48,38.482,67.64,0.62922,0.13723
2005-05-02 11:24:25,0.05088,560.86,48.736,566.21,49.727,559.77,46.749,562.72,35.492,69.353,0.67813,0.11197
2005-05-02 13:24:30,0.055779,539.7,49.83,541.36,48.625,537.5,49.001,530.05,75.558,78.976,0.65519,0.065946
2005-05-02 15:24:35,0.047391,525.0,46.703,527.62,48.816,521.83,48.308,533.23,50.503,75.679,0.66412,0.07482
2005-05-02 17:24:42,0.043239,504.28,38.516,506.26,42.178,502.7,37.065,515.63,41.164,71.599,0.73793,0.085662
2005-05-02 19:24:47,0.050911,504.48,44.715,506.01,46.601,502.59,41.85,496.22,58.855,67.804,0.59804,0.093012
2005-05-02 21:24:52,0.060106,508.27,50.063,514.43,49.345,502.49,50.401,488.83,49.24,65.915,0.61779,0.08322
2005-05-02 23:24:57,0.057917,502.44,52.313,502.08,49.381,501.77,48.864,504.82,54.049,67.119,0.58454,0.077565
2005-05-03 01:25:02,0.055929,492.8,50.233,488.16,52.289,491.42,47.081,499.08,53.127,70.181,0.63912,0.084065
2005-05-03 03:25:07,0.056177,500.91,51.848,499.78,55.209,496.07,50.865,505.32,59.044,69.533,0.57038,0.099627
2005-05-03 05:25:14,0.048906,520.13,57.839,519.23,60.882,518.84,55.468,513.93,61.363,69.471,0.62434,0.09882
2005-05-03 07:25:19,0.057781,573.72,56.408,577.31,57.852,567.52,54.197,559.13,38.967,61.566,0.54468,0.093453
2005-05-03 09:25:24,0.043317,591.13,51.746,601.07,54.886,593.11,50.156,584.48,45.015,59.428,0.61316,0.10528
2005-05-03 11:25:29,0.030046,568.03,49.848,572.75,54.42,568.29,46.392,559.31,33.288,66.394,0.62328,0.10111
2005-05-03 13:25:34,0.034195,548.5,48.393,553.46,49.701,549.53,47.164,557.91,63.536,72.582,0.67886,0.096866
2005-05-03 15:25:41,0.027356,537.85,45.877,544.78,48.918,539.04,44.449,521.33,50.568,71.303,0.61395,0.10096
2005-05-03 17:25:46,0.02039,515.72,43.63,527.26,39.677,521.51,42.312,515.84,61.924,80.945,0.61922,0.087593
2005-05-03 19:25:51,0.02037,502.53,45.226,505.49,46.489,510.43,46.647,498.5,52.692,85.877,0.57554,0.12252
2005-05-04 01:26:06,0.019138,430.74,33.91,430.84,31.542,430.38,34.885,406.24,13.859,81.425,0.62724,0.13878
2005-05-04 03:26:13,0.016002,424.14,33.078,421.92,33.505,422.72,34.843,406.36,24.496,83.742,0.52319,0.1139
2005-05-04 05:26:18,0.014886,402.79,28.697,405.27,30.081,402.42,31.412,398.11,20.911,82.354,0.61042,0.13858
2005-05-04 07:26:24,0.021636,394.33,25.641,397.83,27.624,391.21,29.856,384.54,28.169,81.121,0.57062,0.15204
2005-05-04 09:26:28,0.026103,387.34,25.544,391.93,25.972,386.35,24.176,392.48,20.093,72.554,0.62637,0.16531
2005-05-04 11:26:33,0.033436,380.41,21.467,376.13,24.316,378.83,21.081,377.16,22.394,59.681,0.46833,0.16317
2005-05-04 13:26:40,0.018343,378.66,25.678,380.3,24.898,377.58,27.37,373.97,26.605,66.301,0.50445,0.17658
2005-05-04 15:26:45,0.018999,375.31,26.353,371.81,28.684,370.71,29.175,365.41,21.217,65.434,0.53949,0.27222
2005-05-04 17:26:50,0.02497,366.05,23.002,361.68,21.485,363.49,25.071,354.35,23.568,63.046,0.53441,0.3139
2005-05-04 19:26:55,0.028584,367.25,24.596,359.57,27.841,362.92,24.299,360.19,18.196,56.68,0.42472,0.25152
2005-05-04 21:27:00,0.026435,358.13,25.271,361.57,28.913,352.61,22.868,341.47,24.451,73.58,0.57486,0.30864
2005-05-04 23:27:05,0.031682,351.15,25.179,351.35,26.651,346.03,22.822,334.83,14.916,65.826,0.54564,0.28558
2005-05-05 01:27:12,0.05358,352.67,18.087,352.5,18.088,350.63,16.077,344.62,10.6,56.703,0.49949,0.30654
2005-05-05 03:27:17,0.11551,358.31,20.805,355.01,19.967,353.58,18.202,353.2,16.943,65.017,0.47165,0.31884
2005-05-05 05:27:23,0.11584,356.61,25.622,352.39,25.51,350.15,23.495,352.65,25.31,72.861,0.50782,0.18254
2005-05-05 07:27:27,0.097962,358.89,23.335,358.44,24.791,352.55,21.3,353.3,17.923,81.076,0.58584,0.17943
2005-05-05 09:27:32,0.10456,364.15,19.5,362.12,19.057,362.42,17.6,358.83,19.104,69.023,0.54695,0.13828
2005-05-05 11:27:38,0.14743,357.67,19.155,357.89,18.727,357.03,17.728,351.76,14.809,68.186,0.55738,0.14838
2005-05-05 13:27:44,0.14136,348.52,17.176,348.74,15.196,347.1,13.806,341.05,16.581,71.561,0.54667,0.16319
2005-05-05 15:27:49,0.083364,346.46,13.761,346.55,10.069,347.14,7.7672,340.9,9.1306,30.1,0.27804,0.12899
2005-05-05 17:27:55,0.11747,351.7,15.235,350.31,15.827,348.77,13.365,342.15,7.1333,67.882,0.4597,0.15846
2005-05-05 19:27:59,0.14034,353.77,13.379,352.11,18.541,351.18,12.897,349.17,9.9184,90.98,0.66358,0.14755
2005-05-05 21:28:04,0.10565,344.35,15.261,343.3,12.722,345.47,12.717,340.06,9.0695,43.754,0.31742,0.17111
2005-05-05 23:28:11,0.088454,343.48,17.028,343.21,20.078,342.97,17.424,336.22,18.063,43.273,0.39768,0.14597
2005-05-06 01:28:16,0.072091,343.07,17.766,342.81,18.196,349.71,21.264,335.39,32.661,118.02,0.75814,0.050636
2005-05-06 03:28:22,0.05014,358.99,22.177,370.7,25.335,362.35,25.349,362.64,7.748,106.0,0.68833,0.1277
2005-05-06 05:28:26,0.046252,366.75,17.637,369.43,22.465,365.48,18.239,364.24,19.497,96.198,0.7328,0.1241
2005-05-06 07:28:31,0.053518,366.97,17.125,369.14,22.027,366.44,19.581,360.64,18.146,89.295,0.58678,0.11333
2005-05-06 09:28:37,0.068354,362.68,14.907,364.38,19.529,362.16,13.368,360.05,19.289,73.528,0.53329,0.086232
2005-05-06 11:28:43,0.12495,373.57,20.75,373.41,22.06,373.26,18.836,373.53,19.683,94.489,0.62935,0.080291
2005-05-06 13:28:48,0.18874,377.59,19.721,374.81,14.382,375.06,16.722,377.62,20.297,78.201,0.53537,0.096731
2005-05-06 15:28:54,0.41213,382.82,26.288,384.71,28.233,384.67,27.641,383.4,28.101,105.52,0.68121,0.14382
2005-05-06 17:28:58,0.31234,398.31,26.527,400.77,28.113,400.07,28.797,400.94,22.879,113.5,0.65503,0.16995
2005-05-06 19:29:03,0.42528,397.41,28.582,399.0,31.281,397.48,29.5,394.8,22.849,94.404,0.60975,0.13104
2005-05-06 21:29:09,0.39022,399.02,28.965,403.21,33.692,399.55,31.641,398.45,24.547,103.72,0.62283,0.098875
2005-05-06 23:29:15,0.43627,406.63,31.024,408.64,35.925,409.38,35.129,407.89,29.583,108.8,0.6656,0.10234
2005-05-07 01:29:20,0.47438,402.55,31.86,406.66,37.458,404.88,36.035,401.76,30.502,114.81,0.66023,0.12619
2005-05-07 03:29:26,0.35037,390.48,28.481,392.89,34.333,393.2,32.086,392.87,25.217,104.04,0.59586,0.13113
2005-05-07 05:29:30,0.33473,374.68,25.046,384.34,30.399,379.26,27.564,380.6,19.157,100.66,0.59342,0.1631
2005-05-07 07:29:36,0.2689,370.68,22.502,374.61,24.74,374.23,25.139,373.78,20.605,103.71,0.6283,0.14917
2005-05-07 09:29:42,0.29472,369.91,22.005,369.75,24.113,371.71,23.426,373.49,20.122,106.53,0.67175,0.13743
2005-05-07 11:29:47,0.3077,372.21,21.957,374.48,23.816,375.23,23.531,377.81,17.531,102.47,0.61616,0.14561
2005-05-07 13:29:53,0.32661,360.81,22.467,360.29,23.953,363.24,24.011,363.03,19.692,101.07,0.70082,0.16632
2005-05-07 15:29:57,0.27896,353.15,21.247,353.36,21.058,352.86,21.598,351.04,16.921,93.475,0.55448,0.19852
2005-05-07 17:30:02,0.20761,385.63,29.035,392.32,19.63,391.28,18.642,382.57,18.804,27.893,0.30942,0.23976
2005-05-07 19:30:08,0.41004,396.07,29.866,386.78,20.766,383.81,18.876,376.89,18.883,46.803,0.31932,0.23972
2005-05-07 21:30:14,0.74475,444.01,39.923,442.53,40.347,442.47,39.622,428.08,41.802,93.986,0.64305,0.11329
2005-05-07 23:30:19,0.37756,582.74,60.663,580.43,61.682,577.01,60.756,571.2,66.222,89.873,0.70167,0.092204
2005-05-08 01:30:25,0.25168,550.17,60.783,554.88,61.994,546.85,58.654,546.45,60.717,92.795,0.64917,0.094153
2005-05-08 03:30:29,0.20075,484.04,47.29,483.66,49.375,483.96,46.899,468.41,54.316,110.27,0.67596,0.095351
2005-05-08 05:30:34,0.21804,472.42,41.626,475.64,45.894,466.38,43.028,467.69,42.363,94.506,0.59693,0.13839
2005-05-08 07:30:40,0.34595,605.57,75.032,613.76,78.869,604.91,74.365,597.74,72.485,86.262,0.6383,0.091158
2005-05-08 09:30:46,0.33586,792.64,86.686,793.7,88.686,787.54,83.201,792.68,85.503,79.946,0.62343,0.10185
2005-05-08 11:30:51,0.35226,845.9,82.471,846.84,89.173,833.14,84.725,833.53,79.952,72.212,0.67708,0.09029
2005-05-08 13:30:57,0.4221,759.7,75.138,750.55,83.88,741.23,76.484,746.21,80.443,65.725,0.6358,0.081681
2005-05-08 15:31:01,0.3608,717.31,69.665,713.21,76.514,708.58,69.964,692.65,70.272,72.861,0.65359,0.10829
2005-05-08 17:31:06,0.25918,745.06,50.635,746.35,52.626,741.38,48.608,741.26,50.033,76.905,0.64742,0.098209
2005-05-08 19:31:12,0.14007,731.05,47.986,732.42,52.63,729.19,52.32,732.81,62.227,87.011,0.68973,0.070605
2005-05-08 21:31:18,0.10158,704.69,49.652,712.28,56.742,706.77,55.692,714.01,62.261,92.259,0.6673,0.061203
2005-05-08 23:31:24,0.070245,664.15,47.09,678.72,63.948,668.71,60.127,733.79,61.333,86.557,0.73126,0.081598
2005-05-09 01:31:28,0.055013,674.33,44.385,689.58,55.433,682.41,54.85,705.84,61.947,71.744,0.68984,0.1221
